11090	750	misc_Bume_Goblin
11090	108	BRC01_132
11090	2	BlueOrb_HighBube_Archer
11090	2	RedOrb_HighBube_Archer
11090	4	GEM_Scout_FreeStep
11110	60	TSF01_104
11110	60	SPR01_101
11110	46	NECK02_103
11110	60	TBW01_106
11110	2	BlueOrb_New_desmodus
11110	2	RedOrb_New_desmodus
11110	2	Gem_Pyromancer_FireWall
11120	800	misc_0013
11120	50	TSF02_110
11120	29	SWD02_114
11120	134	BRC01_123
11120	2	TSW02_114
11120	2	BlueOrb_Goblin_Spear
11120	2	RedOrb_Goblin_Spear
11120	2	Gem_Cleric_Cure
11124	55	SWD01_120
11125	800	misc_0013
11125	134	NECK01_123
11125	100	MAC02_110
11125	82	SWD01_119
11125	82	TBW01_119
11125	134	LEG01_103
11125	134	misc_gemExpStone_randomQuest1_TA
11125	2	SWD02_118
11125	2	BlueOrb_Goblin_Miners
11125	2	RedOrb_Goblin_Miners
11125	2	Gem_Archer_Multishot
11127	115	SHD01_102
11127	115	R_HAND02_109
11160	800	misc_0013
11160	750	misc_0106
11160	60	TBW01_120
11160	25	BRC01_110
11160	100	Hat_628010
11160	134	LEG01_124
11160	134	misc_gemExpStone_randomQuest1_TA
11160	2	TBW02_116
11160	2	BlueOrb_Goblin_Archer
11160	2	RedOrb_Goblin_Archer
11160	2	Gem_Ranger_CriticalShot
41196	1000	misc_resin
41196	3330	misc_jore01
41196	2500	food_004
41196	33	TSP02_101
41196	2	BlueOrb_Long_Arm
41196	2	RedOrb_Long_Arm
41196	100	R_BRC03_101
41197	1000	misc_0092
41197	115	MAC01_133
41197	115	HAND01_149
41197	2	BlueOrb_tombstone_turtle
41197	2	RedOrb_tombstone_turtle
41198	1111	misc_0093
41198	1	R_SHD04_101
41198	129	misc_gemExpStone_randomQuest1_TA
41198	61	TSW01_108
41198	2	BlueOrb_dog_of_king
41198	2	RedOrb_dog_of_king
41199	5000	misc_0076
41199	2500	misc_ore04
41199	10	BOW02_107
41200	500	misc_0163
41205	0	BRC01_105
41207	1000	SWD01_130
41207	1000	R_TSW01_122
41207	1000	STF01_130
41207	1000	TSF01_122
41207	1000	TBW01_130
41207	1000	R_BOW01_123
41207	1000	R_MAC01_129
41207	1000	R_SPR01_112
41207	1000	TSP01_103
41209	0	gem_circle_1
41209	0	gem_square_1
41209	0	gem_diamond_1
41209	0	gem_star_1
41210	0	BRC01_120
41211	0	card_yonazolem
41211	1000	SWD01_116
41211	1000	TSW01_111
41211	1000	STF01_116
41211	1000	TSF01_109
41211	1000	TBW01_116
41211	1000	BOW01_111
41211	1000	MAC01_116
41211	1000	SPR01_106
41211	1000	TSP01_102
41213	1000	SWD01_108
41213	1000	TSW01_106
41213	1000	STF01_108
41213	1000	TSF01_106
41213	1000	TBW01_108
41213	1000	BOW01_106
41213	1000	MAC01_108
41213	1000	SPR01_103
41215	1000	SWD01_131
41215	1000	TSW01_123
41215	1000	STF01_131
41215	1000	TSF01_123
41215	1000	R_TBW01_131
41215	1000	BOW01_124
41215	1000	MAC01_130
41215	1000	SPR01_113
41215	1000	TSP01_104
41219	8000	Drug_SP1
41220	1000	SWD01_108
41220	1000	TSW01_106
41220	1000	STF01_108
41220	1000	TSF01_106
41220	1000	TBW01_108
41220	1000	BOW01_106
41220	1000	MAC01_108
41220	1000	SPR01_103
41223	1000	SWD01_130
41223	1000	R_TSW01_122
41223	1000	STF01_130
41223	1000	TSF01_122
41223	1000	TBW01_130
41223	1000	R_BOW01_123
41223	1000	R_MAC01_129
41223	1000	R_SPR01_112
41223	1000	TSP01_103
41226	1000	R_SWD01_109
41226	1000	R_TSW01_107
41226	1000	R_STF01_109
41226	1000	R_TSF01_107
41226	1000	R_TBW01_109
41226	1000	R_BOW01_107
41226	1000	R_MAC01_109
41226	1000	R_SPR01_104
41229	0	misc_BRC03_105_3
41230	1000	SWD01_106
41230	1000	TSW01_104
41230	1000	STF01_106
41230	1000	TSF01_104
41230	1000	TBW01_106
41230	1000	BOW01_104
41230	1000	MAC01_106
41230	1000	SPR01_101
41232	1000	SWD01_132
41232	1000	TSW01_124
41232	1000	STF01_132
41232	1000	TSF01_124
41232	1000	R_TBW01_132
41232	1000	BOW01_125
41232	1000	MAC01_131
41232	1000	SPR01_114
41232	1000	TSP01_105
41235	8000	Drug_HPSP1
41235	6000	Drug_SP1
41235	6000	Drug_HP1
41237	1000	SWD01_120
41237	1000	TSW01_114
41237	1000	STF01_120
41237	1000	TSF01_112
41237	1000	TBW01_120
41237	1000	BOW01_114
41237	1000	MAC01_120
41238	1000	SWD01_105
41238	1000	TSW01_103
41238	1000	STF01_105
41238	1000	TSF01_103
41238	1000	TBW01_105
41238	1000	BOW01_103
41238	1000	MAC01_105
41240	1000	R_SWD01_109
41240	1000	R_TSW01_107
41240	1000	R_STF01_109
41240	1000	R_TSF01_107
41240	1000	R_TBW01_109
41240	1000	R_BOW01_107
41240	1000	R_MAC01_109
41240	1000	R_SPR01_104
41241	1000	SWD01_108
41241	1000	TSW01_106
41241	1000	STF01_108
41241	1000	TSF01_106
41241	1000	TBW01_108
41241	1000	BOW01_106
41241	1000	MAC01_108
41241	1000	SPR01_103
41242	1000	SWD01_108
41242	1000	TSW01_106
41242	1000	STF01_108
41242	1000	TSF01_106
41242	1000	TBW01_108
41242	1000	BOW01_106
41242	1000	MAC01_108
41242	1000	SPR01_103
41243	1000	SWD01_131
41243	1000	TSW01_123
41243	1000	STF01_131
41243	1000	TSF01_123
41243	1000	R_TBW01_131
41243	1000	BOW01_124
41243	1000	MAC01_130
41243	1000	SPR01_113
41243	1000	TSP01_104
41244	1000	SWD01_120
41244	1000	TSW01_114
41244	1000	STF01_120
41244	1000	TSF01_112
41244	1000	TBW01_120
41244	1000	BOW01_114
41244	1000	MAC01_120
41246	1000	SWD01_120
41246	1000	TSW01_114
41246	1000	STF01_120
41246	1000	TSF01_112
41246	1000	TBW01_120
41246	1000	BOW01_114
41246	1000	MAC01_120
